Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0603,6,100nf,
C7,CP_Radial_D4.0mm_P1.50mm,1,22uF_16V,
D1,D_SMB,1,B240,
"IC1, IC2",SOT95P280X145-6N,2,SN74LVC1T45DBVR,
IC3,TXU0304QPWRQ1,1,TXU0304QPWRQ1,
J1,Edge_connector_02x08,1,Conn_02x16,
J2,CONN_IDC_2x7,1,QL_CONN,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"MH1, MH2",MountingHole_3.5mm_safe_screw_area,2,MountingHole,
"MH_S1, MH_S2, MH_S3, MH_S4",,4,MountingHole,
Q1,SOT-23W,1,Q_NPN_BEC,
R1,0603,1,4k7,
R2,0603,1,5K6,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,75R,
R4,0603,1,1K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,1K,
U1,TO-220-3_Vertical,1,LM7805_TO220,
U2,RPi_Pico_SMD_TH,1,Pico,
