Designator,Mid X,Mid Y,Rotation,Layer
C1,148.4,-101.81,270.0,top
C2,149.25,-95.47,0.0,top
C3,145.2,-84.2,0.0,top
C4,140.1,-100.9,180.0,top
C5,140.9,-96.19,270.0,top
C6,138.0,-84.2,180.0,top
C7,140.38,-114.7,180.0,bottom
D1,129.1125,-101.18,0.0,top
IC1,144.77,-94.3,180.0,top
IC2,144.77,-99.87,180.0,top
IC3,141.7,-80.339579,180.0,top
J1,155.765,-112.915,0.0,top
J2,164.04,-80.32,90.0,top
LS1,140.085,-121.355,180.0,bottom
Q1,129.1,-114.42,270.0,bottom
R1,141.0,-79.2,270.0,bottom
R2,132.93,-113.76,90.0,bottom
R3,135.79,-118.0,90.0,top
R4,167.2,-90.4,90.0,top
RV1,134.75,-127.36,0.0,top
U1,174.54,-100.885,180.0,top
U2,143.1,-96.47,270.0,bottom
